"","varcode","russian","english","five_most_popular_values","number_of_valid","number_of_missing"
"1206","rh4221.3","Где именно 1-й ребенок посещает дополнительные творческие или любительские занятия: С частным преподавателем репетитором? ","Where is the 1st child attends extra creative or amateur classes with a private tutor a tutor?","С частным преподавателем, репетитором",19,8130
"1207","rh4222.1","Где именно 2-й ребенок посещает дополнительные творческие или любительские занятия: В (вашем саду/ вашей школе)? ","Where is the 2nd child attends extra creative or amateur classes: B (your garden / your school)?","В вашем саду/ вашей школе)",80,8069
"1208","rh4222.2","Где именно 2-й ребенок посещает дополнительные творческие или любительские занятия: В др.учреждениинапр.в кружках клубах секциях специализир. школах? ","Where is the 2nd child attends extra creative or amateur classes: In dr.uchrezhdenii eg. In circles clubs sections specializing. schools?","В другом учреждении, напр.,в кружках, клубах, секциях, специализир. школах",164,7985
"1209","rh4222.3","Где именно 2-й ребенок посещает дополнительные творческие или любительские занятия: С частным преподавателем репетитором? ","Where is the 2nd child attends extra creative or amateur classes with a private tutor a tutor?","С частным преподавателем, репетитором",11,8138
"1210","rh4223.1","Где именно 3-й ребенок посещает дополнительные творческие или любительские занятия: В (вашем саду/ вашей школе)? ","Where is the 3rd child attends extra creative or amateur classes: B (your garden / your school)?","В вашем саду/ вашей школе)",6,8143
"1211","rh4223.2","Где именно 3-й ребенок посещает дополнительные творческие или любительские занятия: В др.учреждениинапр.в кружках клубах секциях специализир. школах? ","Where is the 3rd child attends extra creative or amateur classes: In dr.uchrezhdenii eg. In circles clubs sections specializing. schools?","В другом учреждении, напр.,в кружках, клубах, секциях, специализир. школах",19,8130
"1212","rh4223.3","Где именно 3-й ребенок посещает дополнительные творческие или любительские занятия: С частным преподавателем репетитором? ","Where is the 3rd child attends extra creative or amateur classes with a private tutor a tutor?","",0,8149
"1213","rh4224.1","Где именно 4-й ребенок посещает дополнительные творческие или любительские занятия: В (вашем саду/ вашей школе)? ","Where is the 4th child attends extra creative or amateur classes: B (your garden / your school)?","В вашем саду/ вашей школе)",2,8147
"1214","rh4224.2","Где именно 4-й ребенок посещает дополнительные творческие или любительские занятия: В др.учреждениинапр.в кружках клубах секциях специализир. школах? ","Where is the 4th child attends extra creative or amateur classes: In dr.uchrezhdenii eg. In circles clubs sections specializing. schools?","В другом учреждении, напр.,в кружках, клубах, секциях, специализир. школах",6,8143
"1215","rh4224.3","Где именно 4-й ребенок посещает дополнительные творческие или любительские занятия: С частным преподавателем репетитором? ","Where is the 4th child attends extra creative or amateur classes with a private tutor a tutor?","",0,8149
"1216","rh4231.1","Сколько рублей в среднем Вы платите за месяц дополнительных творческих занятий в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month of creative classes in (your garden / your school)?","       0 |      200 |     1000 |      500 |      600 |      800",298,7851
"1217","rh4231.2","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий в др.учреждениинапр.в кружках клубах секциях специализир. школах? ","How many rubles on average you pay for the extra month of creative classes in dr.uchrezhdenii eg. In circles clubs sections specializing. schools?","    0 |   300 |  1000 |   500 |   200 |   600",519,7630
"1218","rh4231.3","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий с частным преподавателем репетитором? ","How many rubles on average you pay per month extra creative lessons with a private tutor a tutor?","   0 | 1500 | 2000 |  300 | 1300 | 1400",19,8130
"1219","rh4232.1","Сколько рублей в среднем Вы платите за месяц дополнительных творческих занятий в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month of creative classes in (your garden / your school)?","   0 |  400 | 1000 |  300 |  500 |  100",80,8069
"1220","rh4232.2","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий в др.учреждениинапр.в кружках клубах секциях специализир. школах? ","How many rubles on average you pay for the extra month of creative classes in dr.uchrezhdenii eg. In circles clubs sections specializing. schools?","   0 |  500 |  200 | 1000 |  250 |  600",164,7985
"1221","rh4232.3","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий с частным преподавателем репетитором? ","How many rubles on average you pay per month extra creative lessons with a private tutor a tutor?","1400 | 3500 |    0 | 1200 | 1500 | 2400",11,8138
"1222","rh4233.1","Сколько рублей в среднем Вы платите за месяц дополнительных творческих занятий в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month of creative classes in (your garden / your school)?","БЕСПЛАТНО",6,8143
"1223","rh4233.2","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий в др.учреждениинапр.в кружках клубах секциях специализир. школах? ","How many rubles on average you pay for the extra month of creative classes in dr.uchrezhdenii eg. In circles clubs sections specializing. schools?","   0 |  200 |  300 |  100 | 1000 | 1200",19,8130
"1224","rh4233.3","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий с частным преподавателем репетитором? ","How many rubles on average you pay per month extra creative lessons with a private tutor a tutor?","",0,8149
"1225","rh4234.1","Сколько рублей в среднем Вы платите за месяц дополнительных творческих занятий в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month of creative classes in (your garden / your school)?","БЕСПЛАТНО",2,8147
"1226","rh4234.2","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий в др.учреждениинапр.в кружках клубах секциях специализир. школах? ","How many rubles on average you pay for the extra month of creative classes in dr.uchrezhdenii eg. In circles clubs sections specializing. schools?","   0 | 1000 |  110 |  420 |  600",6,8143
"1227","rh4234.3","Сколько рублей в среднем Вы платите за месяц  дополнительных творческих занятий с частным преподавателем репетитором? ","How many rubles on average you pay per month extra creative lessons with a private tutor a tutor?","",0,8149
"1228","rh431.1","1-й ребенок занимается спортом помимо обязательных занятий физкультурой в (детском саду/ школе)? Это могут быть занятия как в (вашем саду/ вашей школе) так и вне (него/ нее). ","1st child is involved in sports outside the mandatory physical education in (kindergarten / school)? It can be occupied as in (your garden / your school) and outside (him / her).","Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",2639,5510
"1229","rh431.2","2-й ребенок занимается спортом помимо обязательных занятий физкультурой в (детском саду/ школе)? Это могут быть занятия как в (вашем саду/ вашей школе) так и вне (него/ нее). ","2nd child is involved in sports outside the mandatory physical education in (kindergarten / school)? It can be occupied as in (your garden / your school) and outside (him / her).","Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",794,7355
"1230","rh431.3","3-й ребенок занимается спортом помимо обязательных занятий физкультурой в (детском саду/ школе)? Это могут быть занятия как в (вашем саду/ вашей школе) так и вне (него/ нее). ","3rd child is involved in sports outside the mandatory physical education in (kindergarten / school)? It can be occupied as in (your garden / your school) and outside (him / her).","Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",116,8033
"1231","rh431.4","4-й ребенок занимается спортом помимо обязательных занятий физкультурой в (детском саду/ школе)? Это могут быть занятия как в (вашем саду/ вашей школе) так и вне (него/ нее). ","4th child playing sports outside the mandatory physical education in (kindergarten / school)? It can be occupied as in (your garden / your school) and outside (him / her).","Нет | Да",23,8126
"1232","rh4321.1","Где именно 1-й ребенок дополнительно занимается спортом: В (вашем саду/ вашей школе)? ","Where is the 1st child additionally involved in sports: In (your garden / your school)?","В (вашем саду/ вашей школе) | НЕТ ОТВЕТА",194,7955
"1233","rh4321.2","Где именно 1-й ребенок дополнительно занимается спортом: В другом учреждении напр.в спорт. школе секции клубебассейне? ","Where is the 1st child additionally involved in sports: In another institution eg. In the sport. school clubs swimming pools?","В другом учреждении, напр.,в спорт. школе, секции, клубе,бассейне",384,7765
"1234","rh4321.3","Где именно 1-й ребенок дополнительно занимается спортом: С частным тренером? ","Where is the 1st child additionally plays sports: With a private trainer?","С частным тренером",15,8134
"1235","rh4322.1","Где именно 2-й ребенок дополнительно занимается спортом: В (вашем саду/ вашей школе)? ","Where is the 2nd child additionally involved in sports: In (your garden / your school)?","В (вашем саду/ вашей школе) | НЕТ ОТВЕТА",82,8067
"1236","rh4322.2","Где именно 2-й ребенок дополнительно занимается спортом: В другом учреждении напр.в спорт. школе секции клубебассейне? ","Where is the 2nd child additionally involved in sports: In another institution eg. In the sport. school clubs swimming pools?","В другом учреждении, напр.,в спорт. школе, секции, клубе,бассейне",135,8014
"1237","rh4322.3","Где именно 2-й ребенок дополнительно занимается спортом: С частным тренером? ","Where is the 2nd child additionally plays sports: With a private trainer?","С частным тренером",4,8145
"1238","rh4323.1","Где именно 3-й ребенок дополнительно занимается спортом: В (вашем саду/ вашей школе)? ","Where is the 3rd child additionally involved in sports: In (your garden / your school)?","В (вашем саду/ вашей школе)",12,8137
"1239","rh4323.2","Где именно 3-й ребенок дополнительно занимается спортом: В другом учреждении напр.в спорт. школе секции клубебассейне? ","Where is the 3rd child additionally involved in sports: In another institution eg. In the sport. school clubs swimming pools?","В другом учреждении, напр.,в спорт. школе, секции, клубе,бассейне",23,8126
"1240","rh4323.3","Где именно 3-й ребенок дополнительно занимается спортом: С частным тренером? ","Where is the 3rd child additionally plays sports: With a private trainer?","С частным тренером",1,8148
"1241","rh4324.1","Где именно 4-й ребенок дополнительно занимается спортом: В (вашем саду/ вашей школе)? ","Where is the 4th child additionally involved in sports: In (your garden / your school)?","В (вашем саду/ вашей школе)",4,8145
"1242","rh4324.2","Где именно 4-й ребенок дополнительно занимается спортом: В другом учреждении напр.в спорт. школе секции клубебассейне? ","Where is the 4th child additionally involved in sports: In another institution eg. In the sport. school clubs swimming pools?","В другом учреждении, напр.,в спорт. школе, секции, клубе,бассейне",2,8147
"1243","rh4324.3","Где именно 4-й ребенок дополнительно занимается спортом: С частным тренером? ","Where is the 4th child additionally plays sports: With a private trainer?","",0,8149
"1244","rh4331.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month in sports (your garden / your school)?","   0 | 1500 |  600 | 1200 | 1300 | 2000",192,7957
"1245","rh4331.2","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в другом учреждении напр.в спорт. школе секции клубебассейне? ","How many rubles on average you pay per month extra sport at another institution eg. In the sport. school clubs swimming pools?","   0 | 1000 | 1500 | 1200 | 2000 |  500",384,7765
"1246","rh4331.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом с частным тренером? ","How many rubles on average you pay extra for a month with a private sports coach?","    0 |  1000 |  2000 |  1200 |  1800 | 24000",15,8134
"1247","rh4332.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month in sports (your garden / your school)?","   0 | 1000 |  200 |  100 | 1350 | 1500",81,8068
"1248","rh4332.2","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в другом учреждении напр.в спорт. школе секции клубебассейне? ","How many rubles on average you pay per month extra sport at another institution eg. In the sport. school clubs swimming pools?","   0 | 1000 | 1200 |  300 |  800 | 2000",135,8014
"1249","rh4332.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом с частным тренером? ","How many rubles on average you pay extra for a month with a private sports coach?","БЕСПЛАТНО",1,8148
"1250","rh4333.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month in sports (your garden / your school)?","БЕСПЛАТНО",12,8137
"1251","rh4333.2","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в другом учреждении напр.в спорт. школе секции клубебассейне? ","How many rubles on average you pay per month extra sport at another institution eg. In the sport. school clubs swimming pools?","   0 | 1500 |  350 |  700 |  800",23,8126
"1252","rh4333.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом с частным тренером? ","How many rubles on average you pay extra for a month with a private sports coach?","БЕСПЛАТНО",1,8148
"1253","rh4334.1","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в (вашем саду/ вашей школе)? ","How many rubles on average you pay for the extra month in sports (your garden / your school)?","БЕСПЛАТНО",4,8145
"1254","rh4334.2","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом в другом учреждении напр.в спорт. школе секции клубебассейне? ","How many rubles on average you pay per month extra sport at another institution eg. In the sport. school clubs swimming pools?","БЕСПЛАТНО",2,8147
"1255","rh4334.3","Сколько рублей в среднем Вы платите за месяц дополнительных занятий спортом с частным тренером? ","How many rubles on average you pay extra for a month with a private sports coach?","",0,8149
"1256","rh44.1a","У Вашей семьи в текущем учебном году есть еще какие-то расходы связанные с воспитанием и образованием 1-го ребенка которые мы не учли? Если да то укажите что это за расходы. ","Your family in the current academic year there are some costs associated with the upbringing and education of the 1st child which we have not considered? If yes please specify what kind of expenses.","                                                                                                                         |  9 - НЕТ ОТВЕТА                                                                                                          | Поездки на конкурсы/соревнования                                                                                         | Выпускной                                                                                                                | На нужды класса                                                                                                          | Кислородные коктейли                                                                                                    ",8149,0
"1257","rh44.1b","Сколько рублей в среднем за  месяц (обучения/пребывания) составляют эти расходы на 1-го ребенка? ","How many rubles per month on average (training / stay) these costs make up the 1st child?","99999999 |     1000 |      100 |      500 |      400 |      200",81,8068
"1258","rh44.1c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ СВЯЗАННЫХ С ВОСПИТАНИЕМ И ОБРАЗОВАНИЕМ 1-ГО РЕБЕНКА ","0 - there was no other costs associated with education and education 1ST CHILD","РАСХОДОВ НЕ БЫЛО",2558,5591
"1259","rh44.2a","У Вашей семьи в текущем учебном году есть еще какие-то расходы связанные с воспитанием и образованием 2-го ребенка которые мы не учли? Если да то укажите что это за расходы. ","Your family in the current academic year there are some costs associated with the upbringing and education of the 2nd child which we have not considered? If yes please specify what kind of expenses.","                                                                                                                         |  9 - НЕТ ОТВЕТА                                                                                                          | Кислородные коктейли                                                                                                     | Транспорт                                                                                                                | Фотографии                                                                                                               | Воскресная школа                                                                                                        ",8149,0
"1260","rh44.2b","Сколько рублей в среднем за  месяц (обучения/пребывания) составляют эти расходы на 2-го ребенка? ","How many rubles per month on average (training / stay) these costs make up the 2nd child?","1.0e+03 | 1.0e+08 | 2.4e+02 | 1.0e+02 | 1.5e+04 | 2.7e+02",17,8132
"1261","rh44.2c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ СВЯЗАННЫХ С ВОСПИТАНИЕМ И ОБРАЗОВАНИЕМ 2-ГО РЕБЕНКА ","0 - there was no other costs associated with education and education 2nd child","РАСХОДОВ НЕ БЫЛО",777,7372
"1262","rh44.3a","У Вашей семьи в текущем учебном году есть еще какие-то расходы связанные с воспитанием и образованием 3-го ребенка которые мы не учли? Если да то укажите что это за расходы. ","Your family in the current academic year there are some costs associated with the upbringing and education of the 3rd child we have not considered? If yes please specify what kind of expenses.","                                                                                                                         | Подготовка к ГИА                                                                                                         | Посещение бассейна на уроках физкультуры                                                                                ",8149,0
"1263","rh44.3b","Сколько рублей в среднем за  месяц (обучения/пребывания) составляют эти расходы на 3-го ребенка? ","How many rubles per month on average (training / stay) these costs make up the third child?","",0,8149
"1264","rh44.3c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ СВЯЗАННЫХ С ВОСПИТАНИЕМ И ОБРАЗОВАНИЕМ 3-ГО РЕБЕНКА ","0 - there was no other costs associated with education and education 3RD CHILD","РАСХОДОВ НЕ БЫЛО",114,8035
"1265","rh44.4a","У Вашей семьи в текущем учебном году есть еще какие-то расходы связанные с воспитанием и образованием 4-го ребенка которые мы не учли? Если да то укажите что это за расходы. ","Your family in the current academic year there are some costs associated with the upbringing and education of the 4th child that we have not considered? If yes please specify what kind of expenses.","                                                                                                                        ",8149,0
"1266","rh44.4b","Сколько рублей в среднем за  месяц (обучения/пребывания) составляют эти расходы на 4-го ребенка? ","How many rubles per month on average (training / stay) these costs make up the 4th child?","",0,8149
"1267","rh44.4c","0 - НЕ БЫЛО ДРУГИХ РАСХОДОВ СВЯЗАННЫХ С ВОСПИТАНИЕМ И ОБРАЗОВАНИЕМ 4-ГО РЕБЕНКА ","0 - there was no other costs associated with education and education 4th child","РАСХОДОВ НЕ БЫЛО",23,8126
"1268","rh45","Кто-то из членов семьи в наст.вр.получает проф.образование(не учитыв.техкто обуч.на проф.курсахкурсах повыш.квалифик. в аспирантуре или докторантуре)? ","Some of the family members in nast.vr.poluchaet prof.obrazovanie (not uchityv.teh who obuch.na prof.kursah courses povysh.kvalifik. Postgraduate or doctoral studies)?","Нет | Да | НЕТ ОТВЕТА",8149,0
"1269","rh461.1","Где учится 1-й учащийся? ","Where studies of the 1st student?","ИНСТИТУТ,УНИВЕРСИТЕТ,АКАДЕМИЯ,ВКЛЮЧАЯ МАГИСТРАТУРУ | ТЕХНИКУМ, КОЛЛЕДЖ СО СРЕДНЕСПЕЦИАЛЬНЫМ ОБРАЗОВАНИЕМ,В Т.Ч.МЕДИЦИНСКИЙ,МУЗЫКАЛЬНЫЙ,ХУДОЖЕСТВЕННЫЙ,ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖИ | ПРОФЕССИОНАЛЬНОЕ УЧИЛИЩЕ,ТЕХНИЧЕСКОЕ УЧИЛИЩЕ ИЛИ ЛИЦЕЙ С НАЧАЛЬНЫМ ПРОФЕССИОНАЛЬНЫМ ИЛИ СРЕДНИМ ОБРАЗОВАНИЕМ",1205,6944
"1270","rh461.2","Где учится 2-й учащийся? ","Where studies 2nd student?","ИНСТИТУТ,УНИВЕРСИТЕТ,АКАДЕМИЯ,ВКЛЮЧАЯ МАГИСТРАТУРУ | ТЕХНИКУМ, КОЛЛЕДЖ СО СРЕДНЕСПЕЦИАЛЬНЫМ ОБРАЗОВАНИЕМ,В Т.Ч.МЕДИЦИНСКИЙ,МУЗЫКАЛЬНЫЙ,ХУДОЖЕСТВЕННЫЙ,ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖИ | ПРОФЕССИОНАЛЬНОЕ УЧИЛИЩЕ,ТЕХНИЧЕСКОЕ УЧИЛИЩЕ ИЛИ ЛИЦЕЙ С НАЧАЛЬНЫМ ПРОФЕССИОНАЛЬНЫМ ИЛИ СРЕДНИМ ОБРАЗОВАНИЕМ",132,8017
"1271","rh461.3","Где учится 3-й учащийся? ","Where studies 3rd student?","ИНСТИТУТ,УНИВЕРСИТЕТ,АКАДЕМИЯ,ВКЛЮЧАЯ МАГИСТРАТУРУ | ТЕХНИКУМ, КОЛЛЕДЖ СО СРЕДНЕСПЕЦИАЛЬНЫМ ОБРАЗОВАНИЕМ,В Т.Ч.МЕДИЦИНСКИЙ,МУЗЫКАЛЬНЫЙ,ХУДОЖЕСТВЕННЫЙ,ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖИ",6,8143
"1272","rh461.4","Где учится 4-й учащийся? ","Where to learn the 4th student?","",0,8149
"1273","rh46.1b","Номер 1-го учащегося из карточки домохозяйства. ","Number 1 student of cards households."," 3 |  4 |  2 |  1 |  5 |  0",1205,6944
"1274","rh462.1","На какой форме обучения учится 1-й учащийся? ","On what form of learning is learning the 1st student?","Очно | Заочно | Очно-заочно, на вечернем | Дистанционно | Экстернат",1205,6944
"1275","rh462.2","На какой форме обучения учится 2-й учащийся? ","On what form of learning is learning the 2nd student?","Очно | Заочно | Очно-заочно, на вечернем | Дистанционно | Экстернат",132,8017
"1276","rh462.3","На какой форме обучения учится 3-й учащийся? ","On what form of learning is learning third student?","Очно | Заочно | Очно-заочно, на вечернем",6,8143
"1277","rh462.4","На какой форме обучения учится 4-й учащийся? ","On what form of learning is learning 4th student?","",0,8149
"1278","rh46.2b","Номер 2-го учащегося из карточки домохозяйства. ","Number of 2nd student card from the household."," 3 |  2 |  5 |  1 |  4 |  6",132,8017
"1279","rh46.3b","Номер 3-го учащегося из карточки домохозяйства. ","Number of 3rd student card from the household.","",0,8149
"1280","rh46.4b","Номер 4-го учащегося из карточки домохозяйства. ","Number of 4th student card from the household.","",0,8149
"1281","rh47.1","В каком году 1-й учащийся поступил в это учебное заведение? ","In what year was the 1st student enrolled in this school?","В 2012 г. и ранее | В 2013 г. | НЕТ ОТВЕТА",1205,6944
"1282","rh47.2","В каком году 2-й учащийся поступил в это учебное заведение? ","In what year was the 2nd student enrolled in this school?","В 2012 г. и ранее | В 2013 г.",132,8017
"1283","rh47.3","В каком году 3-й учащийся поступил в это учебное заведение? ","In what year was the third student enrolled in this school?","В 2012 г. и ранее",6,8143
"1284","rh47.4","В каком году 4-й учащийся поступил в это учебное заведение? ","In what year was the 4th student enrolled in this school?","",0,8149
"1285","rh48.1","Сколько экзаменов в формате ЕГЭ сдавал 1-й учащийся? ","How many exams in the format USE handed 1st student?","0e+00 | 3e+00 | 4e+00 | 5e+00 | 2e+00 | 1e+08",146,8003
"1286","rh48.2","Сколько экзаменов в формате ЕГЭ сдавал 2-й учащийся? ","How many exams in the format USE handed 2nd student?","0e+00 | 3e+00 | 1e+08 | 4e+00",18,8131
"1287","rh48.3","Сколько экзаменов в формате ЕГЭ сдавал 3-й учащийся? ","How many exams in the format USE handed third student?","",0,8149
"1288","rh48.4","Сколько экзаменов в формате ЕГЭ сдавал 4-й учащийся? ","How many exams in the format USE handed 4th student?","",0,8149
"1289","rh49.1.1","Какова была сумма баллов набранных 1-м учащимся по результатам ЕГЭ по математике после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points earned 1st students on USE results in mathematics after their transfer to a 100-point system ie test scores?","1.0e+08 | 6.0e+01 | 7.0e+01 | 6.8e+01 | 4.0e+01 | 4.8e+01",95,8054
"1290","rh49.1.2","Какова была сумма баллов набранных 2-м учащимся по результатам ЕГЭ по математике после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points earned 2nd students at the USE results in mathematics after their transfer to a 100-point system ie test scores?","38 | 55 | 61 | 87 | 96",5,8144
"1291","rh49.1.3","Какова была сумма баллов набранных 3-м учащимся по результатам ЕГЭ по математике после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points scored 3rd on the results of CSE students in mathematics after their transfer to a 100-point system ie test scores?","",0,8149
"1292","rh49.1.4","Какова была сумма баллов набранных 4-м учащимся по результатам ЕГЭ по математике  после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points earned 4th students on USE results in mathematics after their transfer to a 100-point system ie test scores?","",0,8149
"1293","rh49.2.1","Какова была сумма баллов набранных 1-м учащимся по результатам ЕГЭ по русскому языку  после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points earned 1st students on the results of USE in Russian after their transfer to a 100-point system ie test scores?","1.0e+08 | 7.2e+01 | 6.9e+01 | 6.0e+01 | 6.6e+01 | 9.5e+01",95,8054
"1294","rh49.2.2","Какова была сумма баллов набранных 2-м учащимся по результатам ЕГЭ по русскому языку после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points earned 2nd students on the results of USE in Russian after their transfer to a 100-point system ie test scores?","42 | 56 | 63 | 70 | 75",5,8144
"1295","rh49.2.3","Какова была сумма баллов набранных 3-м учащимся по результатам ЕГЭ по русскому языку после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points earned 3rd students on the results of USE in Russian after their transfer to a 100-point system ie test scores?","",0,8149
"1296","rh49.2.4","Какова была сумма баллов набранных 4-м учащимся по результатам ЕГЭ по русскому языку после перевода их в 100-балльную систему то есть тестовых баллов? ","What was the amount of points earned 4th students on the results of USE in Russian after their transfer to a 100-point system ie test scores?","",0,8149
"1297","rh50.1","Ваша семья платила за доброжелательное отношение при выставлении итоговых экзаменационных оценок? Если да то сколько Вы заплатили? 1-й учащийся ","Your family pays for the friendly attitude when placing the final test scores? If so how much you paid? 1st student","НЕ ПЛАТИЛИ | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА",260,7889
"1298","rh50.2","Ваша семья платила за доброжелательное отношение при выставлении итоговых экзаменационных оценок? Если да то сколько Вы заплатили? 2-й учащийся ","Your family pays for the friendly attitude when placing the final test scores? If so how much you paid? 2nd student","НЕ ПЛАТИЛИ | НЕТ ОТВЕТА",25,8124
"1299","rh50.3","Ваша семья платила за доброжелательное отношение при выставлении итоговых экзаменационных оценок? Если да то сколько Вы заплатили? 3-й учащийся ","Your family pays for the friendly attitude when placing the final test scores? If so how much you paid? 3rd student","",0,8149
"1300","rh50.4","Ваша семья платила за доброжелательное отношение при выставлении итоговых экзаменационных оценок? Если да то сколько Вы заплатили? 4-й учащийся ","Your family pays for the friendly attitude when placing the final test scores? If so how much you paid? 4th student","",0,8149
"1301","rh511.1","0 - НЕ БЫЛО РАСХОДОВ СВЯЗАННЫХ С ПОСТУПЛЕНИЕМ 1-ГО УЧАЩЕГОСЯ В ЭТО УЧЕБНОЕ ЗАВЕДЕНИЕ ","0 - there was COSTS OF RECEIPTS 1 student in this school"," 0",181,7968
"1302","rh5111.1","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 1-го учащегося в учебное заведение? Вступительный взнос кот. требуется для поступления в это учебное заведение. ","In the last 12 months of your family were the costs associated with the arrival of the 1st student in school? Entrance fee cat. is required for admission to this school.","Вступит. взнос,кот. требуется для поступл.в это учебн.завед.,в т.ч. в виде добров.пожертвов. или в неденежной форме | НЕТ ОТВЕТА",22,8127
"1303","rh5111.2","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 1-го учащегося в учебное заведение? Плата за подготовительные курсы в том учебном заведении в котором он/она учится ","In the last 12 months of your family were the costs associated with the arrival of the 1st student in school? Fee for training courses in the institution in which he / she learns","Плата за подготовительные курсы в том учебном заведении, в котором он/она учится",10,8139
"1304","rh5111.3","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 1-го учащегося в учебное заведение? Плата за подготовительные курсы при школе для подготовки к ЕГЭ. ","In the last 12 months of your family were the costs associated with the arrival of the 1st student in school? Fee for training courses at the school to prepare for the exam.","Плата за подготовительные курсы при школе для подготовки к ЕГЭ",15,8134
"1305","rh5111.4","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 1-го учащегося в учебное заведение? Плата за подготовительные курсы в других учебных заведениях. ","In the last 12 months of your family were the costs associated with the arrival of the 1st student in school? Fee for training courses at other institutions.","Плата за подготовительные курсы в других учебных заведениях",9,8140
"1306","rh5111.5","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 1-го учащегося в учебное заведение? Плата за занятия с репетиторами для подготовки к поступлению ","In the last 12 months of your family were the costs associated with the arrival of the 1st student in school? Fee for tutoring to prepare for entry","Плата за занятия с репетиторами для подготовки его к поступлению",37,8112
"1307","rh5111.6","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 1-го учащегося в учебное заведение? Другое ","In the last 12 months of your family were the costs associated with the arrival of the 1st student in school? other","",0,8149
"1308","rh51116s","Другие расходы к h5111.6 какие именно: ","Other costs to h5111.6 what kind:","                                                                                                                        ",8149,0
"1309","rh511.2","0 - НЕ БЫЛО РАСХОДОВ СВЯЗАННЫХ С ПОСТУПЛЕНИЕМ 2-ГО УЧАЩЕГОСЯ В УЧЕБНОЕ ЗАВЕДЕНИЕ ","0 - there was COSTS OF RECEIPTS OF 2ND STUDENT in educational institutions"," 0",20,8129
"1310","rh5112.1","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 2-го учащегося в учебное заведение? Вступительный взнос кот.требуется для поступления в это учебное заведение. ","In the last 12 months of your family were the costs associated with the receipt of the 2nd student in school? Entrance fee kot.trebuetsya for admission to this school.","Вступит. взнос,кот. требуется для поступл.в это учебн.завед.,в т.ч. в виде добров.пожертвов. или в неденежной форме",3,8146
"1311","rh5112.2","В последние 12 месяцев у Вашей семьи были расходы связанные с поступлением 2-го учащегося в учебное заведение? Плата за подготовительные курсы в том учебном заведении в котором он/она учится. ","In the last 12 months of your family were the costs associated with the receipt of the 2nd student in school? Fee for training courses in the institution in which he / she learns.","Плата за подготовительные курсы в том учебном заведении, в котором он/она учится",1,8148
